BEGIN TESTING
5.00	3.50	1.60	0.60	0.47	0.94	0.00
5.30	3.70	1.50	0.20	1.00	0.01	0.00
4.60	3.40	1.40	0.30	1.00	0.01	0.00
6.50	3.20	5.10	2.00	0.00	0.03	0.97
4.40	3.20	1.30	0.20	1.00	0.01	0.00
5.80	2.70	3.90	1.20	0.01	1.00	0.00
6.10	2.80	4.70	1.20	0.00	1.00	0.00
6.90	3.20	5.70	2.30	0.00	0.00	1.00
7.00	3.20	4.70	1.40	0.01	1.00	0.00
6.00	3.40	4.50	1.60	0.01	1.00	0.00
6.30	3.30	4.70	1.60	0.00	0.09	0.98
5.50	4.20	1.40	0.20	1.00	0.00	0.00
7.90	3.80	6.40	2.00	0.00	0.99	0.04
5.70	3.80	1.70	0.30	1.00	0.00	0.00
6.00	2.70	5.10	1.60	0.47	0.00	0.11
6.00	2.90	4.50	1.50	0.31	0.04	0.01
7.60	3.00	6.60	2.10	0.00	0.00	1.00
7.40	2.80	6.10	1.90	0.00	0.00	1.00
4.80	3.40	1.90	0.20	1.00	0.01	0.00
4.80	3.00	1.40	0.30	1.00	0.07	0.00
8.00	5.00	7.00	3.00	0.00	0.01	0.99
4.00	2.00	1.00	0.00	0.99	0.00	0.00
4.00	5.00	7.00	3.00	0.00	0.00	0.00
8.00	2.00	7.00	3.00	0.00	0.00	0.00
8.00	5.00	1.00	3.00	0.01	0.04	0.98
8.00	5.00	7.00	0.00	1.00	0.00	0.31
8.00	2.00	1.00	0.00	0.01	1.00	0.00
4.00	5.00	1.00	0.00	1.00	0.00	0.00
4.00	2.00	7.00	0.00	0.79	0.00	0.00
4.00	2.00	1.00	3.00	0.00	0.87	0.08
